sto,x,y,wald,wald_max,versiegelt
2679,4316530.952576265,3161275.7656014212,14.838903427124023,63,55.99861145019531
2680,4316630.977961739,3161274.3978658314,17.67536735534668,77,52.50432205200195
2681,4316731.003331556,3161273.03013434,15.988338470458984,77,51.55672836303711
2682,4316831.028685686,3161271.6624069423,14.801591873168945,76,38.24544143676758
2683,4316931.054024102,3161270.2946836436,17.578739166259766,77,44.87543487548828
2684,4317031.079346772,3161268.926964448,8.113332748413086,76,48.25757598876953
2685,4317131.104653661,3161267.5592493494,12.306010246276855,74,48.96490478515625
2686,4317231.129944744,3161266.1915383497,26.796064376831055,67,20.511301040649414
2687,4317331.155219985,3161264.8238314535,23.289525985717773,75,18.95587158203125
2688,4317431.18047936,3161263.4561286587,20.964004516601562,78,41.67294692993164
2689,4317531.205722833,3161262.088429963,0.42334601283073425,61,72.034393310546875
2690,4317631.230950373,3161260.7207353683,22.61605453491211,71,40.79270935058594
2691,4317731.256161951,3161259.3530448787,25.934850692749023,69,25.204029083251953
2692,4317831.281357539,3161257.98535849,9.509180068969727,76,70.240966796875
2693,4317931.306537102,3161256.6176762036,20.357067108154297,90,42.469482421875
2694,4318031.331700611,3161255.249998023,48.134212493896484,93,4.9505743980407715
2695,4318131.356848037,3161253.882323947,58.42271041870117,94,0.9745401740074158
2696,4318231.381979345,3161252.5146539724,72.43587493896484,100,3.177292823791504
2697,4318331.407094508,3161251.1469881036,66.15111541748047,100,0
2698,4318431.432193495,3161249.77932634,81.162811279296875,97,0
2699,4318531.457276274,3161248.41166868,90.83403015136719,100,0
2700,4318631.482342816,3161247.044015126,88.72889709472656,100,0.03242005035281181
2701,4318731.507393089,3161245.676365682,53.23845672607422,96,8.155271530151367
